ts,epoch,gpu_util,apiserver_state,apiserver_jiff,apiserver_thr,engine_state,engine_jiff,engine_thr
23:57:50,1790179070,36,S,4323,149,S,11515,333
23:57:51,1790179071,36,S,4323,149,S,11540,333
23:57:52,1790179072,36,S,4323,149,S,11567,333
23:57:53,1790179073,36,S,4323,149,S,11593,333
23:57:54,1790179074,36,S,4323,149,S,11618,333
23:57:55,1790179075,36,S,4323,149,S,11645,333
23:57:56,1790179076,36,S,4323,149,S,11672,333
23:57:57,1790179077,36,S,4323,149,S,11698,333
23:57:58,1790179078,36,S,4323,149,S,11724,333
23:57:59,1790179079,36,S,4323,149,S,11751,333
23:58:00,1790179080,36,S,4323,149,S,11777,333
23:58:01,1790179081,36,S,4324,149,S,11804,333
23:58:02,1790179082,36,S,4324,149,S,11831,333
23:58:03,1790179083,36,S,4324,149,S,11858,333
23:58:04,1790179084,36,S,4324,149,S,11885,333
23:58:05,1790179085,36,S,4324,149,S,11912,333
23:58:06,1790179086,36,S,4324,149,S,11938,333
23:58:07,1790179087,36,S,4324,149,S,11965,333
23:58:08,1790179088,36,S,4324,149,S,11990,333
23:58:09,1790179089,36,S,4324,149,S,12016,333
23:58:10,1790179090,36,S,4324,149,S,12043,333
23:58:11,1790179091,36,S,4324,149,S,12069,333
23:58:12,1790179092,36,S,4324,149,S,12094,333
23:58:13,1790179093,36,S,4324,149,S,12120,333
23:58:14,1790179094,36,S,4324,149,S,12146,333
23:58:15,1790179095,36,S,4324,149,S,12172,333
23:58:16,1790179096,36,S,4324,149,S,12198,333
23:58:17,1790179097,36,S,4324,149,S,12225,333
23:58:18,1790179098,36,S,4324,149,S,12252,333
23:58:19,1790179099,36,S,4324,149,S,12277,333
23:58:20,1790179100,36,S,4324,149,S,12303,333
23:58:21,1790179101,36,S,4324,149,S,12328,333
23:58:22,1790179102,36,S,4324,149,S,12354,333
23:58:23,1790179103,36,S,4324,149,S,12380,333
23:58:24,1790179104,36,S,4324,149,S,12406,333
23:58:25,1790179105,36,S,4324,149,S,12429,333
23:58:26,1790179106,36,S,4324,149,S,12455,333
23:58:27,1790179107,36,S,4324,149,S,12482,333
23:58:28,1790179108,36,S,4324,149,S,12508,333
23:58:29,1790179109,36,S,4324,149,S,12534,333
23:58:30,1790179110,36,S,4324,149,S,12561,333
23:58:31,1790179111,36,S,4324,149,S,12587,333
23:58:32,1790179112,36,S,4324,149,S,12613,333
23:58:33,1790179113,36,S,4324,149,S,12640,333
23:58:34,1790179114,36,S,4325,149,S,12666,333
23:58:35,1790179115,36,S,4325,149,S,12692,333
23:58:36,1790179116,36,S,4325,149,S,12718,333
23:58:37,1790179117,36,R,4338,150,S,12744,333
23:58:38,1790179118,36,S,4396,150,S,12821,333
23:58:39,1790179119,36,S,4428,150,R,12938,333
23:58:40,1790179120,36,S,4430,150,R,13103,333
23:58:41,1790179121,36,S,4432,150,R,13283,333
23:58:42,1790179122,36,S,4434,150,R,13474,333
23:58:43,1790179123,36,S,4436,150,R,13648,333
23:58:44,1790179124,36,S,4437,150,R,13831,333
23:58:45,1790179125,36,S,4441,150,R,14020,333
23:58:46,1790179126,36,S,4443,150,R,14208,333
23:58:47,1790179127,36,S,4446,150,R,14391,333
23:58:48,1790179128,36,S,4448,150,R,14565,333
23:58:49,1790179129,36,S,4451,150,R,14747,333
23:58:50,1790179130,36,S,4454,150,R,14912,333
23:58:51,1790179131,36,S,4457,150,R,15053,333
23:58:52,1790179132,36,S,4460,150,R,15192,333
23:58:53,1790179133,36,S,4464,150,R,15331,333
23:58:54,1790179134,36,S,4466,150,R,15470,333
23:58:55,1790179135,36,S,4469,150,R,15606,333
23:58:56,1790179136,36,S,4472,150,R,15741,333
23:58:57,1790179137,36,S,4478,150,R,15869,333
23:58:58,1790179138,36,R,4484,150,R,16001,333
23:58:59,1790179139,36,S,4491,150,R,16134,333
23:59:00,1790179140,36,S,4498,150,R,16264,333
23:59:01,1790179141,36,S,4503,150,R,16395,333
23:59:02,1790179142,36,S,4509,150,R,16526,333
23:59:03,1790179143,36,R,4516,150,R,16656,333
23:59:04,1790179144,36,S,4522,150,R,16787,333
23:59:05,1790179145,36,S,4528,150,R,16918,333
23:59:06,1790179146,36,S,4534,150,R,17049,333
23:59:07,1790179147,36,S,4540,150,R,17180,333
23:59:08,1790179148,36,S,4546,150,R,17311,333
23:59:09,1790179149,36,S,4553,150,R,17442,333
23:59:10,1790179150,36,S,4559,150,R,17572,333
23:59:11,1790179151,36,R,4565,150,R,17703,333
23:59:12,1790179152,36,S,4571,150,R,17834,333
23:59:13,1790179153,36,S,4578,150,R,17965,333
23:59:14,1790179154,36,S,4585,150,R,18096,333
23:59:15,1790179155,36,S,4590,150,R,18226,333
23:59:16,1790179156,36,S,4596,150,R,18357,333
23:59:17,1790179157,36,S,4603,150,R,18488,333
23:59:18,1790179158,36,S,4609,150,R,18619,333
23:59:19,1790179159,36,S,4615,150,R,18750,333
23:59:20,1790179160,36,S,4621,150,R,18880,333
23:59:21,1790179161,36,S,4627,150,R,19011,333
23:59:22,1790179162,36,S,4633,150,R,19141,333
23:59:23,1790179163,36,S,4640,150,R,19272,333
23:59:24,1790179164,36,S,4646,150,R,19403,333
23:59:25,1790179165,36,S,4653,150,R,19534,333
23:59:26,1790179166,36,S,4659,150,R,19664,333
23:59:27,1790179167,36,S,4666,150,R,19795,333
23:59:28,1790179168,36,S,4672,150,R,19926,333
23:59:29,1790179169,36,S,4679,150,R,20057,333
23:59:30,1790179170,36,S,4685,150,R,20188,333
23:59:31,1790179171,36,S,4691,150,R,20318,333
23:59:32,1790179172,36,S,4697,150,R,20449,333
23:59:33,1790179173,36,S,4703,150,R,20581,333
23:59:34,1790179174,36,S,4709,150,R,20713,333
23:59:35,1790179175,36,S,4716,150,R,20844,333
23:59:36,1790179176,36,S,4722,150,R,20977,333
23:59:37,1790179177,36,S,4728,150,R,21106,333
23:59:38,1790179178,36,S,4735,150,R,21238,333
23:59:39,1790179179,36,S,4742,150,R,21375,333
23:59:40,1790179180,36,S,4753,150,R,21527,333
23:59:41,1790179181,36,S,4762,150,R,21663,333
23:59:42,1790179182,36,S,4770,150,R,21800,333
23:59:43,1790179183,36,S,4779,150,R,21936,333
23:59:44,1790179184,36,S,4788,150,R,22073,333
23:59:45,1790179185,36,S,4796,150,R,22209,333
23:59:46,1790179186,36,S,4806,150,R,22346,333
23:59:47,1790179187,36,S,4813,150,R,22481,333
23:59:48,1790179188,36,S,4822,150,R,22617,333
23:59:49,1790179189,36,S,4829,150,R,22753,333
23:59:50,1790179190,36,R,4837,150,R,22888,333
23:59:51,1790179191,36,S,4847,150,R,23025,333
23:59:52,1790179192,36,S,4855,150,R,23160,333
23:59:53,1790179193,36,S,4863,150,R,23297,333
23:59:54,1790179194,36,S,4873,150,R,23432,333
23:59:55,1790179195,36,S,4880,150,R,23569,333
23:59:56,1790179196,36,S,4889,150,R,23705,333
23:59:57,1790179197,36,S,4898,150,R,23841,333
23:59:58,1790179198,36,S,4901,150,R,23976,333
23:59:59,1790179199,36,S,4907,150,R,24107,333
00:00:00,1790179200,36,S,4913,150,R,24236,333
00:00:01,1790179201,36,S,4919,150,R,24367,333
00:00:02,1790179202,36,S,4925,150,R,24498,333
00:00:03,1790179203,36,S,4931,150,R,24629,333
00:00:04,1790179204,36,S,4938,150,R,24759,333
00:00:05,1790179205,36,S,4943,150,R,24890,333
00:00:06,1790179206,36,S,4950,150,R,25020,333
00:00:07,1790179207,36,S,4957,150,R,25151,333
00:00:08,1790179208,36,S,4962,150,R,25281,333
00:00:09,1790179209,36,S,4969,150,R,25412,333
00:00:10,1790179210,36,S,4974,150,R,25542,333
00:00:11,1790179211,36,S,4980,150,R,25674,333
00:00:12,1790179212,36,S,4987,150,R,25804,333
00:00:13,1790179213,36,R,4993,150,R,25934,333
00:00:14,1790179214,36,S,4999,150,R,26066,333
00:00:15,1790179215,36,S,5005,150,R,26196,333
00:00:16,1790179216,36,S,5011,150,R,26326,333
00:00:17,1790179217,36,S,5017,150,R,26457,333
00:00:18,1790179218,36,S,5023,150,R,26588,333
00:00:19,1790179219,36,S,5030,150,R,26718,333
00:00:20,1790179220,36,S,5036,150,R,26849,333
00:00:21,1790179221,36,S,5042,150,R,26980,333
00:00:22,1790179222,36,R,5047,150,R,27110,333
00:00:23,1790179223,36,S,5054,150,R,27240,333
00:00:24,1790179224,36,S,5059,150,R,27372,333
00:00:25,1790179225,36,S,5066,150,R,27502,333
00:00:26,1790179226,36,S,5072,150,R,27632,333
00:00:27,1790179227,36,S,5078,150,R,27763,333
00:00:28,1790179228,36,S,5084,150,R,27893,333
00:00:29,1790179229,36,S,5090,150,R,28023,333
00:00:30,1790179230,36,S,5097,150,R,28154,333
