ts,epoch,gpu_util,engine_state,engine_jiff,engine_thr
00:25:15,1790180715,36,S,165483,333
00:25:16,1790180716,36,S,165513,333
00:25:17,1790180717,36,S,165541,333
00:25:18,1790180718,36,S,165570,333
00:25:19,1790180719,36,S,165599,333
00:25:20,1790180720,36,S,165629,333
00:25:21,1790180721,36,S,165658,333
00:25:22,1790180722,36,S,165688,333
00:25:23,1790180723,36,S,165720,333
00:25:24,1790180724,36,S,165751,333
00:25:25,1790180725,36,S,165782,333
00:25:26,1790180726,36,S,165813,333
00:25:27,1790180727,36,S,165843,333
00:25:28,1790180728,36,S,165873,333
00:25:29,1790180729,36,S,165903,333
00:25:30,1790180730,36,S,165932,333
00:25:31,1790180731,36,S,165963,333
00:25:32,1790180732,36,S,165993,333
00:25:33,1790180733,36,S,166023,333
00:25:34,1790180734,36,S,166052,333
00:25:35,1790180735,36,S,166082,333
00:25:36,1790180736,36,S,166110,333
00:25:37,1790180737,36,S,166141,333
00:25:38,1790180738,36,S,166170,333
00:25:39,1790180739,36,S,166199,333
00:25:40,1790180740,36,S,166229,333
00:25:41,1790180741,36,S,166258,333
00:25:42,1790180742,36,S,166288,333
00:25:43,1790180743,36,S,166317,333
00:25:44,1790180744,36,S,166347,333
00:25:45,1790180745,36,S,166376,333
00:25:46,1790180746,36,S,166405,333
00:25:47,1790180747,36,S,166434,333
00:25:48,1790180748,36,S,166462,333
00:25:49,1790180749,36,S,166491,333
00:25:50,1790180750,36,S,166520,333
00:25:51,1790180751,36,S,166549,333
00:25:52,1790180752,36,S,166581,333
00:25:53,1790180753,36,S,166612,333
00:25:54,1790180754,36,S,166643,333
00:25:55,1790180755,36,S,166673,333
00:25:56,1790180756,36,S,166702,333
00:25:57,1790180757,36,S,166731,333
00:25:58,1790180758,36,S,166761,333
00:25:59,1790180759,36,S,166790,333
00:26:00,1790180760,36,S,166821,333
00:26:01,1790180761,36,S,166850,333
00:26:02,1790180762,36,S,166880,333
00:26:03,1790180763,36,S,166911,333
00:26:04,1790180764,36,R,167096,333
00:26:05,1790180765,36,R,167289,333
00:26:06,1790180766,36,R,167483,333
00:26:07,1790180767,36,R,167675,333
00:26:08,1790180768,36,R,167867,333
00:26:09,1790180769,36,R,168058,333
00:26:10,1790180770,36,R,168248,333
00:26:11,1790180771,36,R,168438,333
00:26:12,1790180772,36,R,168625,333
00:26:13,1790180773,36,R,168804,333
00:26:14,1790180774,36,R,168964,333
00:26:15,1790180775,36,R,169105,333
00:26:16,1790180776,36,R,169244,333
00:26:17,1790180777,36,R,169383,333
00:26:18,1790180778,36,R,169522,333
00:26:19,1790180779,36,R,169661,333
00:26:20,1790180780,36,S,169790,333
00:26:21,1790180781,36,R,169830,333
00:26:22,1790180782,36,R,169873,333
00:26:23,1790180783,36,S,169910,333
00:26:24,1790180784,36,S,169946,333
00:26:25,1790180785,36,S,169985,333
00:26:26,1790180786,36,S,170023,333
00:26:27,1790180787,36,S,170059,333
00:26:28,1790180788,36,S,170096,333
00:26:29,1790180789,36,S,170135,333
00:26:30,1790180790,36,S,170173,333
00:26:31,1790180791,36,S,170211,333
00:26:32,1790180792,36,S,170249,333
00:26:33,1790180793,36,S,170286,333
00:26:34,1790180794,36,S,170324,333
00:26:35,1790180795,36,S,170364,333
00:26:36,1790180796,36,S,170402,333
00:26:37,1790180797,36,S,170441,333
00:26:38,1790180798,36,S,170478,333
00:26:39,1790180799,36,S,170517,333
00:26:40,1790180800,36,R,170624,333
00:26:41,1790180801,36,R,170759,333
00:26:42,1790180802,36,R,170895,333
00:26:43,1790180803,36,R,171029,333
00:26:44,1790180804,36,R,171165,333
00:26:45,1790180805,36,R,171300,333
00:26:46,1790180806,36,R,171435,333
00:26:47,1790180807,36,R,171571,333
00:26:48,1790180808,36,R,171706,333
00:26:49,1790180809,36,R,171842,333
00:26:50,1790180810,36,R,171978,333
00:26:51,1790180811,36,R,172113,333
00:26:52,1790180812,36,R,172249,333
00:26:53,1790180813,36,R,172385,333
00:26:54,1790180814,36,R,172521,333
00:26:55,1790180815,36,R,172656,333
00:26:56,1790180816,36,R,172792,333
00:26:57,1790180817,36,R,172928,333
